,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_RR_ETHEUR_RES,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'krkn', 'lmax', 'stmp']",20s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",eur,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ETHGBP,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['binc', 'cbse', 'gmni', 'krkn', 'stmp']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",gbp,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ETHGBP_RES,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",120s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",gbp,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ETHUSD,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_FILUSD,"[{'asset': 'fil', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_FTMUSD,"[{'asset': 'ftm', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['gmni', 'krkn', 'stmp']",120s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_HBARUSD,"[{'asset': 'hbar', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['btrx', 'cbse', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_LINKUSD,"[{'asset': 'link', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'stmp']",20s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_LTCUSD,"[{'asset': 'ltc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_MANAUSD,"[{'asset': 'mana', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
